City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
446,cascais,38.6979,-9.4215,297.07,56,0,6.17,PT,1680452258
447,mehamn,71.0357,27.8492,270.12,93,75,4.12,NO,1680452258
448,xuddur,4.1213,43.8894,298.0,65,93,3.28,SO,1680452258
449,toamasina,-18.1667,49.3833,298.6,85,100,0.96,MG,1680452262
450,dhidhdhoo,6.8833,73.1,301.16,70,31,4.67,MV,1680452262
451,gualaquiza,-3.4,-78.55,292.53,91,99,0.62,EC,1680452262
452,riyadh,24.6877,46.7219,293.23,15,14,4.72,SA,1680452097
453,misratah,32.3754,15.0925,293.78,60,22,5.43,LY,1680452262
454,gornopravdinsk,60.05,69.9,276.89,94,100,3.35,RU,1680452263
455,varkaus,62.3153,27.873,273.32,84,100,4.45,FI,1680452175
456,amahai,-3.3333,128.9167,297.91,90,100,2.6,ID,1680452264
457,puerto concordia,2.6221,-72.7572,298.2,86,100,0.81,CO,1680452264
458,moussoro,13.6408,16.4901,311.55,13,26,1.34,TD,1680452264
459,sao filipe,14.8961,-24.4956,299.95,51,0,3.75,CV,1680452265
460,jiayuguan,39.8167,98.3,276.43,53,31,2.65,CN,1680452265
461,nanzhang,31.7765,111.8386,290.7,95,100,0.39,CN,1680452265
462,tabuk,17.4189,121.4443,296.14,88,39,1.6,PH,1680452266
463,roma,43.2128,-75.4557,274.47,39,0,2.57,US,1680452266
464,sao goncalo do amarante,-3.6072,-38.9683,301.0,79,100,0.99,BR,1680452266
465,lavrentiya,65.5833,-171.0,251.09,95,13,3.37,RU,1680452266
466,itarema,-2.9248,-39.9167,299.23,86,75,3.76,BR,1680452135
467,akdepe,42.0551,59.3788,285.2,35,74,4.05,TM,1680452266
468,porto novo,6.4965,2.6036,304.24,60,98,5.29,BJ,1680452266
469,ambilobe,-13.2,49.05,297.5,92,95,1.09,MG,1680452266
470,merke,42.8728,73.1786,281.15,41,77,3.11,KZ,1680452267
471,port hawkesbury,45.6169,-61.3485,278.1,75,0,10.73,CA,1680452267
472,caluquembe,-13.7833,14.6833,293.74,80,83,1.27,AO,1680452212
473,kopavogur,64.1123,-21.913,279.99,53,75,5.66,IS,1680452267
474,clyde river,70.4692,-68.5914,249.28,77,20,2.57,CA,1680452267
475,worland,44.0169,-107.9554,279.64,73,0,3.6,US,1680452267
476,komsomolskiy,40.4272,71.7189,290.55,55,75,7.2,UZ,1680452268
